Query	UserId	ChatsQ	BotAnswer	BotHelp
Здравствуйте. Возник еще вопрос. Приложение к 6 НДФЛ (2НДФЛ) за декабрь показываем полностью начисленную з/п или только аванс? Мы аванс за декабрь 2023г. выплатили в декабре, а остаток в январе 2024г. В разделе 2 6 НДФЛ указала аванс з/п за декабрь 2023	403762	1	0	0
Здравствуйте! ООО на ЕСХН в 2023 году, учредитель физическое лицо гражданин РФ имеющее 100% вклад в уставной капитал, простил ООО долг по процентам по договорам займа, сами займы возвращены ранее учредителю в полном объеме, нужно ли суммы прощенных % включать в налогооблагаемую базу по ЕСХН и платить 6%? Ранее начисленные проценты во внереализационные расходы не включались	5136834	1	0	0
здравствуйте! если поменялось положение о премировании, нужно ли создавать новый приказ?	6867453	1	0	0
Добрый день. Сотрудник Иванов АА трудоустроен в организацию с 01.08.2017. В феврале 2024 первый раз за весь период работы оформлен отпуск на 14 календарных дней. Как правильно в бухучете отразить сумму отпускных?	16788632	1	0	0
Здравствуйте! Подскажите ИП при регистрации был без наемного труда, сейчас он стал работодатель, как узнать регистрационный номер в системе социального страхования и какой % взносов платить, необходимо ли регистрироваться	3625005	1	0	0
Добрый день. Подскажите, пожалуйста, коэффициенты районные и северная надбавка предусмотрены в Москве?	407952	1	0	0
калькулятор расчета больничного	290271	1	0	0
Здравствуйте, можно ли быть самозанятому , осуществляя деятельность по пошиву тентов, пологов, штор	1576836	1	0	0
Здравствуйте! Подскажите сменился адрес у организации и место постановки на учет (КПП другой) в феврале 2024 В какую налоговую мне нужно подавать отчетность в старую или новую?	185919	1	0	0
Добрый день, как ответить налоговой на запрос по поводу технической организации.	1588277	1	0	0
бух проводки по начислению и оплате пени за плату за негативное воздействие	3233783	1	0	0
Можно не отражать переоценку инвестиционной недвижимости если разница меньше 5 % от балансовой стоимости имущества?	415512	1	0	0
Добрый день. У нас планируется реорганизация в виде преобразования предприятия из МП в ООО. Как это отразится на расчете с работниками по заработной плате, отпускам и т.д.?	908517	1	0	0
Добрый день, нам провели работы , сделали интернет более быстрым , бесперебойным мы заплатили деньги, никакой аренды нет и передачи оборудования тоже нет, подписан акт выполненных работ .	5238235	1	0	0
Добрый день! можно ли в 2024 г. Неисключительные права на программу учитывать с помощью счета 97??	853417	1	0	0
Добрый день! имеем ли мы право передавать в аренду предмет лизинга?	90939	1	0	0
Добрый день, есть вопрос	368766	1	0	0
Добрый день. Налоговая проверят 3 предшествующих года . Если в проверяемом периоде есть сделки отношения по которым начались за пределами 3 лет, может ли налоговая щапросить докуметы по этим сделкам за пределами 3-х лет /	10903987	1	0	0
добрый день. Как составить договор оказания спонсорской помощи, где ООО выступает как спонсор мероприятия, проводимого физ.лицом ?	2562606	1	0	0
Здравствуйте. Вопрос. Нужно ли утверждать руководство по фирменному стилю локальным актом организации?	13328865	1	0	0
Модульный вагончик на раме, какая амортизационная группа?	8018909	1	0	0
У организации есть бессрочная лицензия на осуществление мед деятельности. По новому ФСБУ 14/2022 она является нематериальным активом. Как организации определить стоимость этой лицензии (если все затраты были сформированы раньше в 2015 г данных не сохранилось) и как определить срок полезного использования для бессрочной лицензии? Что с амортизацией по ней нужно сделать. Организация имеет право на упрощенное ведение бухучета, лицензию хотелось бы правильно отразить на балансе в межотчетный период перспективно.	17604343	1	0	0
Заключен договор тайм чартера на вылов биологических ресурсов в исключительной эконмической зоне РФ. Возникает ли НДС? если да то по какой ставке? Далее судно используется для перевозки в порт Кореи через таможенное оформление во Владивостоке. По какой ставке облагается услуга ?	3200570	1	0	0
Добрый день. Организация собрала пакет документов на подтверждение ставки 0% после 181 дня. Вопрос : с каким кодом операции должна быть отражена счет-фактура . восстановленная после подтверждения НДС 0%?	9806892	1	0	0
как составить встречное исковое заявление в суд	5007556	1	0	0
Добрый день. Подскажите нужно ли вести воинский учет сотрудников, принятых по договору ГПХ?	18304507	1	0	0
