Query	UserId	ChatsQ	BotAnswer	BotHelp	Rank	DocName	LemFounText	FounText	Score	Opinion	Confidence
Здравствуйте. Возник еще вопрос. Приложение к 6 НДФЛ (2НДФЛ) за декабрь показываем полностью начисленную з/п или только аванс? Мы аванс за декабрь 2023г. выплатили в декабре, а остаток в январе 2024г. В разделе 2 6 НДФЛ указала аванс з/п за декабрь 2023	403762	1	0	0	2	Как  выплатить   аванс по   зарплате 	выплачивать аванс зарплата аванс зарплата организация считать исходить фактически отработанный день оклад сотрудник составлять 40 руб иной выплата он не получать апрель 21 рабочий день каждый отработанный день	Как выплатить аванс по зарплате Аванс по зарплате в организации считают исходя из фактически отработанных дней. Оклад сотрудника составляет 40 ... руб., иных выплат он не получает. В апреле 21 рабочий день. За каждый отработанный день...	0.7743002772331238	Ложь	0.825446605682373
Здравствуйте! ООО на ЕСХН в 2023 году, учредитель физическое лицо гражданин РФ имеющее 100% вклад в уставной капитал, простил ООО долг по процентам по договорам займа, сами займы возвращены ранее учредителю в полном объеме, нужно ли суммы прощенных % включать в налогооблагаемую базу по ЕСХН и платить 6%? Ранее начисленные проценты во внереализационные расходы не включались	5136834	1	0	0	13	Какие  расходы  можно учесть при расчете  ЕСХН 	какой расход можно учитывать расчет есхн процент кредит и заем а также расход оплата услуга кредитный организация подп 9 п 2 ст 346 5 нк	Какие расходы можно учесть при расчете ЕСХН Проценты по кредитам и займам , а также расходы на оплату услуг кредитных организаций ( подп. 9 п. 2 ст. 346.5 НК )	0.8876956701278687	Ложь	0.9246999621391296
здравствуйте! если поменялось положение о премировании, нужно ли создавать новый приказ?	6867453	1	0	0	2	Как оформить  Положение о   премировании  сотрудников	оформлять положение премирование сотрудник разработка положение премирование являться право а не обязанность организация документ организация система премирование же премия носить разовый характер их выплата достаточно издавать приказ	Как оформить Положение о премировании сотрудников Разработка Положения о премировании является правом, а не обязанностью организации. Такой документ необходим, если организация ... систему премирования. Если же премии носят разовый характер, то для их выплаты достаточно издать приказ ...	0.7461659908294678	Правда	0.954199492931366
Добрый день. Сотрудник Иванов АА трудоустроен в организацию с 01.08.2017. В феврале 2024 первый раз за весь период работы оформлен отпуск на 14 календарных дней. Как правильно в бухучете отразить сумму отпускных?	16788632	1	0	0	11	Как  учесть  при налогообложении на спецрежиме  отпускные  за основной  отпуск  	учитывать налогообложение спецрежим отпускной основной отпуск 30 апрель 2024 год сотрудник начислять суммарный 467 500 руб расчет отпускной бухгалтер учитывать май период с 1 28 май сумма 25 500 руб заработок	Как учесть при налогообложении на спецрежиме отпускные за основной отпуск ...30 апреля 2024 года сотруднику начислили суммарно 467 500 руб. При расчете отпускных бухгалтер учел ... за май за период с 1 по 28 мая в сумме 25 500 руб. Заработок...	0.8814674019813538	Правда	0.9429572224617004
Здравствуйте! Подскажите ИП при регистрации был без наемного труда, сейчас он стал работодатель, как узнать регистрационный номер в системе социального страхования и какой % взносов платить, необходимо ли регистрироваться	3625005	1	0	0	7	Какой  регистрационный   номер  СФР	какой регистрационный номер сфр регистрационный номер сфр идентифицировать организация или ипать система пенсионный и социальный страхование номер вы указывать например отчетность частность форма ефс 1 работодатель создавать 2023	Какой регистрационный номер СФР Регистрационный номер СФР нужен, чтобы идентифицировать организацию или ИП в системе пенсионного и социального страхования . ... номер вы указываете, например, в отчетности, в частности форме ЕФС-1. Если работодатель создан до 2023...	0.8637835383415222	Правда	0.9764175415039062
Добрый день. Подскажите, пожалуйста, коэффициенты районные и северная надбавка предусмотрены в Москве?	407952	1	0	0	21	Как рассчитать зарплату с учетом  районного   коэффициента 	рассчитать зарплата с учет районный коэффициент выплата районный коэффициент полагать сотрудник независимо где располагать организация например организация располагать г москва и заключать трудовой договор дистанционный работа с сотрудник мурманск она	Как рассчитать зарплату с учетом районного коэффициента Выплата районного коэффициента положена сотруднику независимо от того, где расположена организация. Например, если организация расположена в г. Москве и заключила трудовой договор о дистанционной работе с сотрудником из Мурманска, она...	0.7309686541557312	Правда	0.9467251896858215
Здравствуйте, можно ли быть самозанятому , осуществляя деятельность по пошиву тентов, пологов, штор	1576836	1	0	0	7	Как учесть операции по совместной  деятельности  (простому товариществу)	учитывать операция совместный деятельность простой товарищество процесс результат совместный деятельность каждый участник договор не предусматривать другой порядок	Как учесть операции по совместной деятельности (простому товариществу) В процессе (по результатам) совместной деятельности каждый участник (если в договоре не предусмотрен другой порядок):	0.2841857671737671	Ложь	0.9261103868484497
Здравствуйте! Подскажите сменился адрес у организации и место постановки на учет (КПП другой) в феврале 2024 В какую налоговую мне нужно подавать отчетность в старую или новую?	185919	1	0	0	5	Как  сменить   адрес   общества  на регистрацию по месту жительства генерального директора	сменить адрес общество регистрация место жительство генеральный директор смотреть видеоинструкция оформлять решение внесение изменение устав связь со смена адрес общество	Как сменить адрес общества на регистрацию по месту жительства генерального директора Смотрите видеоинструкцию, как оформить решение о внесении изменений в устав в связи со сменой адреса общества .	0.7139284014701843	Ложь	0.9337277412414551
Добрый день, как ответить налоговой на запрос по поводу технической организации.	1588277	1	0	0	10	Как ответить на  запрос  СФР для выплаты пособий	отвечать запрос сфр выплата пособие сотрудник трудоустраивать или страховой случай происходить с сотрудник более чем 30 календарный день после увольнение пособие ваш организация он не полагать причина запрос мочь быть бывший	Как ответить на запрос СФР для выплаты пособий Если сотрудник трудоустроен или страховой случай произошел с сотрудником более чем через 30 календарных дней после увольнения, пособие от вашей организации ему не положено. Причина запроса может быть следующей: бывший...	0.12297552824020386	Ложь	0.8737214207649231
бух проводки по начислению и оплате пени за плату за негативное воздействие	3233783	1	0	0	24	Как сдают декларацию о  плате за   НВОС 	сдавать декларация плата нвос декларация плата нвос сдавать подтверждать организация правильно рассчитать и вносить плата негативный воздействие организация оплачивать загрязнение вода и воздух а также размещение отходы это предусматривать	Как сдают декларацию о плате за НВОС Декларацию о плате за НВОС сдают, чтобы подтвердить, что организация правильно рассчитала и внесла плату за негативное воздействие . Организации оплачивают загрязнение вод и воздуха, а также размещение отходов. Это предусмотрено...	0.3312366008758545	Правда	0.9630194306373596
Можно не отражать переоценку инвестиционной недвижимости если разница меньше 5 % от балансовой стоимости имущества?	415512	1	0	0	18	Как учесть  инвестиционную   недвижимость  по ФСБУ	учитывать инвестиционный недвижимость фсба недвижимость сдавать операционный аренда или использовать прирост стоимость объект выделять группа инвестиционный недвижимость их арендодатель учитывать свой баланс отличие объект финансовый	Как учесть инвестиционную недвижимость по ФСБУ Если недвижимость сдаете в операционную аренду или используете для прироста стоимости , то такие объекты выделите в группу Инвестиционная недвижимость. Их арендодатель учитывает на своем балансе , в отличие от объектов финансовой...	0.7197736501693726	Ложь	0.8779411315917969
Добрый день. У нас планируется реорганизация в виде преобразования предприятия из МП в ООО. Как это отразится на расчете с работниками по заработной плате, отпускам и т.д.?	908517	1	0	0	8	Как оформить и  учесть   реорганизацию  в форме присоединения	оформлять и учитывать реорганизация форма присоединение учет правопреемник заноситься остаток проводок корреспонденция со вспомогательный счет 00 затем остаток вспомогательный счет 00 после отражение весь связывать с реорганизация операция закрывать счет 84	Как оформить и учесть реорганизацию в форме присоединения В учете правопреемника заносятся такие остатки проводками в корреспонденции со вспомогательным счетом 00. Затем остаток по вспомогательному счету 00 после отражения всех связанных с реорганизацией операций закрывают на счет 84...	0.9358193874359131	Ложь	0.9082385897636414
Добрый день, нам провели работы , сделали интернет более быстрым , бесперебойным мы заплатили деньги, никакой аренды нет и передачи оборудования тоже нет, подписан акт выполненных работ .	5238235	1	0	0	24	Как составить  акт   выполненных   работ  в валюте	составлять акт выполнять работа валюта стоимость иностранный валюта пересчитывать рубль этот требование часть 3 статья 12 закон тот любой первичный учетный документ должный быть составлять валюта рф делать	Как составить акт выполненных работ в валюте Стоимость в иностранной валюте пересчитайте в рубли. Это требование части 3 статьи 12 Закона № ... того, любой первичный учетный документ должен быть составлен в валюте РФ. О том, что делать ,...	0.4754997491836548	Ложь	0.907073438167572
Добрый день! можно ли в 2024 г. Неисключительные права на программу учитывать с помощью счета 97??	853417	1	0	0	18	Как  учесть  спонсорскую и благотворительную  помощь 	учитывать спонсорский и благотворительный помощь бухучет бухучет благотворительный помощь отражать прочий расход п 11 пбу 10 99 учитывать она счет 91 прочий доход и расход корреспонденция со счет который	Как учесть спонсорскую и благотворительную помощь Бухучет. В бухучете благотворительную помощь отразите как прочий расход ( п. 11 ПБУ 10/99 ). Учтите ее на счете 91 «Прочие доходы и расходы» в корреспонденции со счетами, на которых...	0.8982799053192139	Ложь	0.9580678343772888
Добрый день! имеем ли мы право передавать в аренду предмет лизинга?	90939	1	0	0	9	Как заключить договор  лизинга 	заключать договор лизинг 665 гк и статья 2 закон 29 10 1998 164 фз договор лизинг лизинг который отличать этот вид договор обычный аренда договор аренда арендодатель передавать	Как заключить договор лизинга ...665 ГК и статье 2 Закона от 29.10.1998 № 164-ФЗ сказано, что по договору лизинга ... лизинга, который отличает этот вид договора от обычной аренды . По договору аренды арендодатель передает ...	0.7967225909233093	Правда	0.9125385284423828
Добрый день, есть вопрос	368766	1	0	0	27	Обзор изменений в законодательстве Пермского края за апрель 2023 года	обзор изменение законодательство пермский край апрель 2023 год справочник представлять последний изменение законодательство ваш регион	Обзор изменений в законодательстве Пермского края за апрель 2023 года В справочнике представлены последние изменения в законодательстве вашего региона.	0.061952799558639526	Ложь	0.9612634778022766
Добрый день. Налоговая проверят 3 предшествующих года . Если в проверяемом периоде есть сделки отношения по которым начались за пределами 3 лет, может ли налоговая щапросить докуметы по этим сделкам за пределами 3-х лет /	10903987	1	0	0	15	Как  проверить   сделку  на крупность	проверять сделка крупность оценка сделка крупность необходимо проверять нет ли похожий сделка и какой процент актив компания они сумма составлять много 25 процент налоговый мочь признавать их крупный	Как проверить сделку на крупность При оценке сделки на крупность необходимо проверить , нет ли похожих сделок и какой процент от активов компании они в сумме составляют. Если больше 25 процентов, налоговая может признать их крупной...	0.44361311197280884	Ложь	0.9064344763755798
добрый день. Как составить договор оказания спонсорской помощи, где ООО выступает как спонсор мероприятия, проводимого физ.лицом ?	2562606	1	0	0	2	Как учесть  оказание   спонсорской   помощи  на условиях рекламы	учитывать оказание спонсорский помощь условие реклама налог прибыль затрата реклама путем оказание спонсорский помощь учитывать состав прочий расход нк письмо минфин 05 09 2006 03 03 04 2 201 зависимость условие спонсорский договор	Как учесть оказание спонсорской помощи на условиях рекламы Налог на прибыль. Затраты на рекламу путем оказания спонсорской помощи учтите в составе прочих расходов ... НК , письмо Минфина от 05.09.2006 № 03-03-04/2/201 ). В зависимости от условий спонсорского договора ...	0.9192582368850708	Ложь	0.9014005064964294
Здравствуйте. Вопрос. Нужно ли утверждать руководство по фирменному стилю локальным актом организации?	13328865	1	0	0	1	Как разработать и  утвердить   локальные   акты  в  организации 	разрабатывать и утверждать локальный акт организация локальный нормативный акт внутренний документ который регулировать и регламентировать трудовой деятельность конкретный работодатель	Как разработать и утвердить локальные акты в организации Локальные нормативные акты – внутренние документы , которые регулируют и регламентируют трудовую деятельность у конкретного работодателя.	0.22890064120292664	Правда	0.9596660733222961
